"Возрастная группа","Мужчины и женщины","Мужчины","Женщины"
"0 - 4",80546,41237,39309
"5 - 9",114107,58404,55703
"10 - 14",105270,54339,50931
"15 - 19",98916,51171,47745
"20 - 24",83743,42608,41135
"25 - 29",92840,46791,46049
"30 - 34",141936,70295,71641
"35 - 39",165882,80289,85593
"40 - 44",147249,69883,77366
"45 - 49",131063,62010,69053
"50 - 54",113391,52829,60562
"55 - 59",129620,57700,71920
"60 - 64",149022,64023,84999
"65 - 69",120016,48205,71811
"70 - 74",84919,30414,54505
"75 - 79",32039,10086,21953
"80 - 84",42518,11077,31441
"85 и более",25721,5670,20051
